sa2_code,sa2_name,centroid_lat,centroid_lon
112011237,Ballina Surrounds,-28.86005330162603,153.47191343487455
112011238,Bangalow,-28.673375066158695,153.50082936353544
112011239,Brunswick Heads - Ocean Shores,-28.54730318078945,153.5434592419984
112011240,Byron Bay,-28.68102722341288,153.60015432640708
112011241,Evans Head,-29.139272018513203,153.31380737799913
112011242,Lennox Head - Skennars Head,-28.787437408270257,153.58387035668986
112011243,Mullumbimby,-28.547872810083962,153.44294397968744
112021244,Casino,-28.844072915293005,153.04041624801548
112021245,Casino Surrounds,-28.92917544087103,152.84609393580416
112021246,Goonellabah,-28.82297033328386,153.33184774304902
112021247,Kyogle,-28.51319904546055,152.87947378106085
112021248,Lismore,-28.819508901477114,153.28598548387978
112021249,Lismore Surrounds,-28.750737379780144,153.26979851592455
112031250,Kingscliff - Fingal Head,-28.258181253821093,153.55203537800057
112031251,Murwillumbah,-28.334899335749316,153.39825692769378
112031252,Murwillumbah Surrounds,-28.378726407944537,153.29721812119996
112031253,Pottsville,-28.40027952919336,153.5084639186678
112031254,Tweed Heads,-28.216833800646775,153.44955544100992
112031550,Banora Point,-28.222075519084033,153.5362930893641
112031551,Terranora - North Tumbulgum,-28.250628647877193,153.4855429744349
112031552,Tweed Heads South,-28.201657635793264,153.5359208238691
113011256,Griffith (NSW),-34.28123257730036,146.048470518053
113011257,Griffith Surrounds,-33.89747763230466,145.68017581256308
113011258,Leeton,-34.53841924933479,146.41056821324185
113011259,Narrandera,-34.749254811510276,146.5106462979153
113021260,Tumbarumba,-36.02163464071728,148.1246477337228
113021261,Tumut,-35.317445494351,148.21828369326653
113021262,Tumut Surrounds,-35.45251068904052,148.35722472380183
113031263,Cootamundra,-34.59933671682124,148.01637329564346
113031264,Gundagai,-35.02302253834398,148.1442158561261
113031265,Junee,-34.81416149626292,147.67793377466583
113031266,Temora,-34.39329478829405,147.37988794089975
113031267,Wagga Wagga - East,-35.14987388622527,147.40108443785226
113031268,Wagga Wagga - North,-35.073520597797106,147.40650427833202
113031269,Wagga Wagga - South,-35.15366888205577,147.33974869496367
113031270,Wagga Wagga - West,-35.12936965299016,147.30872766613663
113031271,Wagga Wagga Surrounds,-35.146618950823715,147.1443050776011
114011272,Berry - Kangaroo Valley,-34.7593476388196,150.57798005005807
114011273,Callala Bay - Currarong,-34.99055931573744,150.72251500944105
114011274,Culburra Beach,-34.90222525919709,150.71039717747752
114011275,Ettrema - Sassafras - Budawang,-35.09603451719616,150.24005152492134
114011276,Huskisson - Vincentia,-35.06609114185709,150.66557268566038
114011277,North Nowra - Bomaderry,-34.8312416756465,150.57740364329754
114011278,Nowra,-34.90620049912289,150.59657489038221
114011279,St Georges Basin - Erowal Bay,-35.10337496489154,150.61279433982668
114011280,Sussex Inlet - Berrara,-35.14678056024696,150.56216261932738
114011281,Tomerong - Wandandian - Woollamia,-34.99689516736461,150.51277176213637
114011282,Ulladulla,-35.343321627111976,150.45115293307097
114011283,Ulladulla Surrounds,-35.376415183399835,150.35410797296714
114021284,Bowral,-34.486770178963965,150.4191886498528
114021285,Hill Top - Colo Vale,-34.360841258644896,150.49226969967526
114021286,Mittagong,-34.45917336606318,150.48705028809795
114021287,Moss Vale - Berrima,-34.53250883205035,150.37264333169486
