store_name,latitude,longitude,sa2_code,sa2_name,sa3_name,sa4_name,state
Collingwood,-37.8090658,144.9900523,206071141,Collingwood,Yarra,Melbourne - Inner,Victoria
Craigieburn,-37.5818838,144.9418138,210051442,Craigieburn - North,Tullamarine - Broadmeadows,Melbourne - North West,Victoria
Cranbourne,-38.0836155,145.279073,212031300,Cranbourne,Casey - South,Melbourne - South East,Victoria
Croydon,-37.7897,145.2826,211031451,Croydon - West,Maroondah,Melbourne - Outer East,Victoria
Dandenong,-38.005015,145.250583,212041564,Dandenong - South,Dandenong,Melbourne - South East,Victoria
Delacombe,-37.5918608,143.8081048,201011006,Delacombe,Ballarat,Ballarat,Victoria
Doncaster,-37.7870068,145.1284088,207021157,Doncaster,Manningham - West,Melbourne - Inner East,Victoria
East Pakenham,-38.0838,145.516,212011551,Pakenham - South East,Cardinia,Melbourne - South East,Victoria
Echuca,-36.1416433,144.7573257,216011406,Echuca,Campaspe,Shepparton,Victoria
Eltham,-37.7178392,145.1407716,209031209,Eltham,Nillumbik - Kinglake,Melbourne - North East,Victoria
Epping,-37.6481775,145.004309,209041432,Epping - South,Whittlesea - Wallan,Melbourne - North East,Victoria
Epsom,-36.711303,144.3135415,202011025,White Hills - Ascot,Bendigo,Bendigo,Victoria
Fairfield,-37.7726,145.026,206021110,Alphington - Fairfield,Darebin - South,Melbourne - Inner,Victoria
Frankston,-38.1501382,145.1358755,214011371,Frankston,Frankston,Mornington Peninsula,Victoria
Geelong North,-38.0975,144.3536,203021488,Norlane,Geelong,Geelong,Victoria
Hamilton,-37.745,142.025,217011421,Hamilton (Vic.),Glenelg - Southern Grampians,Warrnambool and South West,Victoria
Hastings,-38.2857622,145.185774,214021379,Hastings - Somers,Mornington Peninsula,Mornington Peninsula,Victoria
Hawthorn,-37.8225699,145.0314186,207011520,Hawthorn - South,Boroondara,Melbourne - Inner East,Victoria
Hoppers Crossing,-37.8752601,144.7133085,213051361,Hoppers Crossing - North,Wyndham,Melbourne - West,Victoria
Horsham,-36.7162883,142.2015706,215011388,Horsham,Grampians,North West,Victoria
Keysborough,-37.9899824,145.1470003,212041565,Keysborough - North,Dandenong,Melbourne - South East,Victoria
Leopold,-38.1845835,144.4523652,203021044,Leopold,Geelong,Geelong,Victoria
Lilydale,-37.7576047,145.3475508,211051278,Lilydale - Coldstream,Yarra Ranges,Melbourne - Outer East,Victoria
